Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
Qarshi Toot Siah Syrup 60ml,Medicine,,,Qty,,1.25,,,0,NaN,0,Exclusive,1,0,,,
Qarshi Toot Siah Syrup 120ml,Medicine,,,Qty,,0,,,0,NaN,0,Exclusive,1,0,,,
Venac Forte Eye Drop (3ml),Medicine,,,Qty,,Vega Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Zeest 30s Tab,Medicine,,,Qty,,Tabros Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Numtrol 200000iu (5mg/ml) Ampoule,Medicine,,,Qty,,Highnoon,,,0,NaN,0,Exclusive,1,0,,,
Axal (0.5mg)  30s tab,Medicine,,,Qty,,Amson Vaccine & Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Sibelium (5mg) 30 Capsules,Medicine,,,Qty,,Aspin Pharma.,,,0,NaN,0,Exclusive,1,0,,,
Cefspan (400mg) 5 Capsule Loose,Medicine,,,Qty,,.,,,0,NaN,0,Exclusive,1,0,,,
Always Maxi Thick Long 18 Pads,Medicine,,,Qty,,ALWAYS,,,0,NaN,0,Exclusive,1,0,,,
Always Maxi Thick Extra Long 16 pads,Medicine,,,Qty,,ALWAYS,,,0,NaN,0,Exclusive,1,0,,,
Always 3in1 Ultra Thin Extra Long 7 pads,Medicine,,,Qty,,ALWAYS,,,0,NaN,0,Exclusive,1,0,,,
Bandage 2 Inch,Medicine,,,Qty,,Cotton Crepe (PVT) Ltd,,,0,NaN,0,Exclusive,1,0,,,
Bandage 4 Inch,Medicine,,,Qty,,Cotton Crepe (PVT) Ltd,,,0,NaN,0,Exclusive,1,0,,,
Moblo (500mcg) 30 Tablets,Medicine,,,Qty,,HAROON HIGHNOON LAB,,,0,NaN,0,Exclusive,1,0,,,
Easycare Abdominal Binder (M),Medicine,,,Qty,,Easy Care,,,0,NaN,0,Exclusive,1,0,,,
Ternelin (2mg) 20 Tablet,Medicine,,,Qty,,Sandoz,,,0,NaN,0,Exclusive,1,0,,,
Gatorade Water 500ml,Medicine,,,Qty,,PEPSI,,,0,NaN,0,Exclusive,1,0,,,
Vericef (500mg) 10 Capsule,Medicine,,,Qty,,A- Indus Pharma,,,0,NaN,0,Exclusive,1,0,,,
Zenbar 30mg 10 Capsule,Medicine,,,Qty,,The Searle Company Limited,,,0,NaN,0,Exclusive,1,0,,,
Eno EFF Lemon (14s) Sachet,Medicine,,,Qty,,GLAXOSMITHKLINE,,,0,NaN,0,Exclusive,1,0,,,
Dosteril (37.5/325mg) 30 Tablet,Medicine,,,Qty,,Horizon Healthcare (Pvt) Ltd,,,0,NaN,0,Exclusive,1,0,,,
Modact-IR (100mg) 20 Tablets,Medicine,,,Qty,,A- Platinum Pharma,,,0,NaN,0,Exclusive,1,0,,,
CareBaby Baby Diaper XL 36PCS,Medicine,,,Qty,,CAREBABY,,,0,NaN,0,Exclusive,1,0,,,
Miura D 400IU (10ml) Oral Drops,Medicine,,,Qty,,GETZ PHARMACEUTICALS (PVT.) LTD.,,,0,NaN,0,Exclusive,1,0,,,
Hand Sanitizer Gel 500ml (Concept),Medicine,,,Qty,,CONCEPT,,,0,NaN,0,Exclusive,1,0,,,
Diabeno  30 Tablets,Medicine,,,Qty,,High-Q Pharmaceuticals,,,0,NaN,0,Exclusive,1,0,,,
Colic Syrup 60ml 1's,Medicine,,,Qty,,Axis Labs,,,0,NaN,0,Exclusive,1,0,,,
Medisol N/R (1000ml) Hartmann's,Medicine,,,Qty,,MEDISOL COMPANY,,,0,NaN,0,Exclusive,1,0,,,
Accutane (20mg) 10 Cap,Medicine,,,Qty,,WHIZ PHARAMA,,,0,NaN,0,Exclusive,1,0,,,
Valday (5mg/80mg) 14 Tablets,Medicine,,,Qty,,A- Indus Pharma,,,0,NaN,0,Exclusive,1,0,,,
Crancare Sachets 10s,Medicine,,,Qty,,LCI Pakistan Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Vitrum Tablet (Loos),Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Sustac 6.4mg 30 Tab (Loos),Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Glytec-M (50mg/500mg) 14 Tab,Medicine,,,Qty,,A- Nabiqasim Industries (PVT) LTD,,,0,NaN,0,Exclusive,1,0,,,
Donep (5mg) 20 Tab,Medicine,,,Qty,,GENETIC PHARMACEUUTICCALS,,,0,NaN,0,Exclusive,1,0,,,
Xenocit 5mg 20 Tablets,Medicine,,,Qty,,A- Saffron Pharma,,,0,NaN,0,Exclusive,1,0,,,
Ertuvia-M (2.5/1000mg) 14 Tablets,Medicine,,,Qty,,Ferozsons Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Lagita Advance (120ml) Oral Suspension,Medicine,,,Qty,,Sami Pharmaceutials (Pvt) Ltd,,,0,NaN,0,Exclusive,1,0,,,
Medisign Sugar Strip MS1 25*25,Medicine,,,Qty,,Mana & Co Health Care Pakistan,,,0,NaN,0,Exclusive,1,0,,,
"Crepe Bandage 4"" Hospitex",Medicine,,,Qty,,"general,",,,0,NaN,0,Exclusive,1,0,,,
Cotton Roll 100G Hospitex,Medicine,,,Qty,,"general,",,,0,NaN,0,Exclusive,1,0,,,
Nervin (1mg) 30s tab,Medicine,,,Qty,,WERRICK pharmaceutical,,,0,NaN,0,Exclusive,1,0,,,
Silo-M (50/500mg) 14s tab,Medicine,,,Qty,,MACTER INTERNATIONAL,,,0,NaN,0,Exclusive,1,0,,,
Silo (50mg) 14s,Medicine,,,Qty,,MACTER INTERNATIONAL,,,0,NaN,0,Exclusive,1,0,,,
Etipro Insta (20mg) 10s Sachet,Medicine,,,Qty,,A- LCI,,,0,NaN,0,Exclusive,1,0,,,
Visilda (50mg) 4 Tablets,Medicine,,,Qty,,MAXITECH,,,0,NaN,0,Exclusive,1,0,,,
Visilda (100mg) 4 Tablets,Medicine,,,Qty,,MAXITECH,,,0,NaN,0,Exclusive,1,0,,,
Bambec (10mg) Tab 30s,Medicine,,,Qty,,barret hadgson,,,0,NaN,0,Exclusive,1,0,,,
Sunny-D Pro Softgels (N) 30s,Medicine,,,Qty,,HARRISON PHARMACEUTICALS,,,0,NaN,0,Exclusive,1,0,,,
Blephabar Sterile Opthalmic Ointment,Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Hot Water Bottle Lifecare w Cover,Medicine,,,Qty,,A- LifeCare,,,0,NaN,0,Exclusive,1,0,,,
Glycerine C/50 (20gm),Medicine,,,Qty,,HERBAL MEDICINES,,,0,NaN,0,Exclusive,1,0,,,
Butterfly Teenage 6 pads,Medicine,,,Qty,,BUTTERFLY PADS,,,0,NaN,0,Exclusive,1,0,,,
OneNatal (OMEGA-3 ) 30 Caps,Medicine,,,Qty,,NOVAMED HEALTHCARE,,,0,NaN,0,Exclusive,1,0,,,
Hoest Candy 1's,Medicine,,,Qty,,GHOST,,,0,NaN,0,Exclusive,1,0,,,
Zetro(200mg/5ml) 30ml Suspension,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
OAD (Men) Tab 20s,Medicine,,,Qty,,ccl;,,,0,NaN,0,Exclusive,1,0,,,
Nestle Nan Expertpro LF 400g,Medicine,,,Qty,,Nestl̩,,,0,NaN,0,Exclusive,1,0,,,
Sukoon (Nite-On) 30ml Oil,Medicine,,,Qty,,sakoon,,,0,NaN,0,Exclusive,1,0,,,
7up Zero Sugar (250ml) Tin,Medicine,,,Qty,,7UP,,,0,NaN,0,Exclusive,1,0,,,
Cova 160mg Tab,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
Savesto (24mg+26mg) 28 Tab,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
Lingab (150mg) 20 Cap,Medicine,,,Qty,,GENETIC PHARMACEUUTICCALS,,,0,NaN,0,Exclusive,1,0,,,
Surgee Gauze 15cm x 15cm,Medicine,,,Qty,,Surgitex,,,0,NaN,0,Exclusive,1,0,,,
Butterfly (23g) China,Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Butterfly (22g) China,Medicine,,,Qty,,-,,,0,NaN,0,Exclusive,1,0,,,
Clear Cream (0.3%) 15gm,Medicine,,,Qty,,Safron,,,0,NaN,0,Exclusive,1,0,,,
Imo (40mg) 14 Capsules,Medicine,,,Qty,,EVOLUTIN PHARAMA,,,0,NaN,0,Exclusive,1,0,,,
Trimetabol 150ml Syrup,Medicine,,,Qty,,SAMI PHARMACEUTICALS (PVT.) LTD,,,0,NaN,0,Exclusive,1,0,,,
Onato (5mg) 30 Tablets,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Nestle Nangrow (Suprempro) 3 400gm,Medicine,,,Qty,,0096n004,,,0,NaN,0,Exclusive,1,0,,,
Nido School Age  900g,Medicine,,,Qty,,Nestle,,,0,NaN,0,Exclusive,1,0,,,
Nestle Nan Supreme Pro 2 900g Tin,Medicine,,,Qty,,BRAND NEST INTERNATIONAL,,,0,NaN,0,Exclusive,1,0,,,
Pepcidine  20mg (20 tablet),Medicine,,,Qty,,ASPEN,,,0,NaN,0,Exclusive,1,0,,,
Dicloran Gel (Double strength) 30gm,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Dowfen Gel 50gm,Medicine,,,Qty,,Martin Dow Limited,,,0,NaN,0,Exclusive,1,0,,,
Easycare Knee (Immobilizer) XL,Medicine,,,Qty,,EASYCARE,,,0,NaN,0,Exclusive,1,0,,,
Easycare Knee (Immobilizer) Medium,Medicine,,,Qty,,EASYCARE,,,0,NaN,0,Exclusive,1,0,,,
Alestin (10mg) 20 Tab,Medicine,,,Qty,,3F Chemicals,,,0,NaN,0,Exclusive,1,0,,,
Digas Antacid Liq (10ml) 50 Sachet,Medicine,,,Qty,,Medics pharma,,,0,NaN,0,Exclusive,1,0,,,
Jonhson Baby Shampoo (200ml),Medicine,,,Qty,,UNILVER,,,0,NaN,0,Exclusive,1,0,,,
Scirexin (20mg) 20 Tablets,Medicine,,,Qty,,SCEGEN,,,0,NaN,0,Exclusive,1,0,,,
Eziday DUO (5/100) 14 TAB,Medicine,,,Qty,,A- Werrick Pharma,,,0,NaN,0,Exclusive,1,0,,,
Clopido (75 mg) 10 Tab,Medicine,,,Qty,,A- Platinum Pharma,,,0,NaN,0,Exclusive,1,0,,,
Nestle (Nangrow Supremepro 3) 900gm,Medicine,,,Qty,,NESTLE PAKISTAN,,,0,NaN,0,Exclusive,1,0,,,
Ponstan (250mg) 200 Tab,Medicine,,,Qty,,A- LCI,,,0,NaN,0,Exclusive,1,0,,,
Onato-V HCT(5/160/12.5mg) 28 Tab,Medicine,,,Qty,,A- Sami Pharma,,,0,NaN,0,Exclusive,1,0,,,
Moveryl (200mg) 30 Capsules,Medicine,,,Qty,,A- Sami Pharma,,,0,NaN,0,Exclusive,1,0,,,
Rabecid (10mg) 21 Tablets,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
Enfamil  A-2 (760g) Powder,Medicine,,,Qty,,Bremed,,,0,NaN,0,Exclusive,1,0,,,
Losanta 50mg Tab 20S,Medicine,,,Qty,,Asian Conitnental PVT,,,0,NaN,0,Exclusive,1,0,,,
Losanta 25mg Tab 20S,Medicine,,,Qty,,Asain Continental,,,0,NaN,0,Exclusive,1,0,,,
Sathi Plus (5s) Condoms,Medicine,,,Qty,,A- Greenstar,,,0,NaN,0,Exclusive,1,0,,,
Revive (300ml) Drink,Medicine,,,Qty,,PEPSICO,,,0,NaN,0,Exclusive,1,0,,,
Neuage Face Wash (150ml),Medicine,,,Qty,,BIODERMA,,,0,NaN,0,Exclusive,1,0,,,
Inofolic Plus (30s) Capsules,Medicine,,,Qty,,GALAXY PHARMA,,,0,NaN,0,Exclusive,1,0,,,
Diane-35 (2mg/0.035mg) 21 Tablets,Medicine,,,Qty,,A- Bayer Pharma,,,0,NaN,0,Exclusive,1,0,,,
Nestle Nan Supreme Pro 1 900g,Medicine,,,Qty,,Nestle,,,0,NaN,0,Exclusive,1,0,,,
Rolip Eze (10/10mg) 20 Tablets.,Medicine,,,Qty,,Hilton Pharma,,,0,NaN,0,Exclusive,1,0,,,
Easycare Abdominal Belt (Small),Medicine,,,Qty,,EASYCARE,,,0,NaN,0,Exclusive,1,0,,,
Medisol  N/R (500ml) Hartmann's,Medicine,,,Qty,,MEDISOL COMPANY,,,0,NaN,0,Exclusive,1,0,,,
Cova (80mg) 28 Tablets,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
Nestle Bunyad (32 gm) Sachet,Medicine,,,Qty,,Nestle,,,0,NaN,0,Exclusive,1,0,,,
Nestle NAN Supreme Pro 2 (400g) Tin,Medicine,,,Qty,,bbbbbbbbbbbb,,,0,NaN,0,Exclusive,1,0,,,
Nestle Nan Supreme Pro 1 (400g) Tin,Medicine,,,Qty,,Nestle,,,0,NaN,0,Exclusive,1,0,,,
Molfix Diaper twin No.1 (42Pcs),Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
Always Ultra Large (8Pcs),Medicine,,,Qty,,ALWAYS,,,0,NaN,0,Exclusive,1,0,,,
Molfix Mega Pant 6 No (38Pcs),Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
Molfix Jumbo Diaper 5 No (44Pcs),Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
Molfix Jumbo Diaper 2 No (70Pcs),Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
Molfix Diaper 6 No (38 Pcs) Jumbo Pack,Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
"D-Shat (200,000IU) Oral Solution Unit Dose",Medicine,,,Qty,,Wilshire,,,0,NaN,0,Exclusive,1,0,,,
Alfa-D (0.5mcg) 30 Tablets,Medicine,,,Qty,,PLATINUM PHARMACEUTICAL,,,0,NaN,0,Exclusive,1,0,,,
Onato-V HCT (10mg/160mg/12.5mg) 28 Tablets,Medicine,,,Qty,,FRHT ALI SAMI PHARMA LTD.,,,0,NaN,0,Exclusive,1,0,,,
Synalgo (100mg) 20 Tablets,Medicine,,,Qty,,PLATINIUM PHARMA,,,0,NaN,0,Exclusive,1,0,,,
Cedrox-BD (500mg) 20 Tablets,Medicine,,,Qty,,PLATINIUM PHARMA,,,0,NaN,0,Exclusive,1,0,,,
Always Cotton Pink (XL) 6 Pcs,Medicine,,,Qty,,BUTTERFLY PADS,,,0,NaN,0,Exclusive,1,0,,,
Neo Q Pulgite Susp. (120ml),Medicine,,,Qty,,AL-KARIM HERBAL CARE,,,0,NaN,0,Exclusive,1,0,,,
Capcidol (50g) Cream 1 Pack,Medicine,,,Qty,,A- Ipram,,,0,NaN,0,Exclusive,1,0,,,
Trevia (50mg) 28 Tablets,Medicine,,,Qty,,Gets Pharma,,,0,NaN,0,Exclusive,1,0,,,
Fine Bed Pan,Medicine,,,Qty,,.,,,0,NaN,0,Exclusive,1,0,,,
Pletaal (50mg) 100 Tablets,Medicine,,,Qty,,OTSUKA PAK,,,0,NaN,0,Exclusive,1,0,,,
Empozin 3XR (12.5/2.5/1000mg) 14 Tablets,Medicine,,,Qty,,A- Macter,,,0,NaN,0,Exclusive,1,0,,,
Abacus(100mg) 10 Tablets,Medicine,,,Qty,,A- Sami Pharma,,,0,NaN,0,Exclusive,1,0,,,
Maxdif Cream (40g)1 pack,Medicine,,,Qty,,JENPHARM LIFE SCIENCES,,,0,NaN,0,Exclusive,1,0,,,
Mandelac Serum (20ml) 1 bottle,Medicine,,,Qty,,Jenpharm,,,0,NaN,0,Exclusive,1,0,,,
Sacvin (200mg) 30 Tablets,Medicine,,,Qty,,`,,,0,NaN,0,Exclusive,1,0,,,
Etipro (40mg) 24 Capsules,Medicine,,,Qty,,LCI,,,0,NaN,0,Exclusive,1,0,,,
HINOCAM 20mg Tablets 20s,Medicine,,,Qty,,A- Highnoon,,,0,NaN,0,Exclusive,1,0,,,
PEDIASURE VANILA 850gm,Medicine,,,Qty,,ABBOOTT,,,0,NaN,0,Exclusive,1,0,,,
ZOTONIX 40mg 20s,Medicine,,,Qty,,.,,,0,NaN,0,Exclusive,1,0,,,
MOTILIUM 10mg 60s,Medicine,,,Qty,,0,,,0,NaN,0,Exclusive,1,0,,,
Pre nan soft pack 200g,Medicine,,,Qty,,Nestle,,,0,NaN,0,Exclusive,1,0,,,
NEBIL 5MG(28)TAB,Medicine,,,Qty,,A- Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
Etipro 20mg Capsule 24s,Medicine,,,Qty,,A- ICI Pharma,,,0,NaN,0,Exclusive,1,0,,,
Amclav (312.50mg/5ml) 60ml Suspension,Medicine,,,Qty,,Getz,,,0,NaN,0,Exclusive,1,0,,,
DICLOREP 50MG TAB 30S,Medicine,,,Qty,,FRHT ALI SAMI PHARMA LTD.,,,0,NaN,0,Exclusive,1,0,,,
Lagita Double Action Suspension 120ml,Medicine,,,Qty,,Sami,,,0,NaN,0,Exclusive,1,0,,,
vepridone 4mg tab 20s,Medicine,,,Qty,,Genetics Pharmaceuticals,,,0,NaN,0,Exclusive,1,0,,,
Tamsolin S (0.4/6mg) 20 Tablets,Medicine,,,Qty,,Getz Pharma,,,0,NaN,0,Exclusive,1,0,,,
LAMCY EYE DROP,Medicine,,,Qty,,A- Shaigan Pharma,,,0,NaN,0,Exclusive,1,0,,,
FORHANS TOOTH PASE 65 GM,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Rezz 20  (20mg) 30 Capsule,Medicine,,,Qty,,A- Cell Laboratories,,,0,NaN,0,Exclusive,1,0,,,
FAMOT 20 MG(10),Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Onato (10mg) 30 Tablets,Medicine,,,Qty,,Sami Pharmaceutials (Pvt) Ltd,,,0,NaN,0,Exclusive,1,0,,,
eziday duo 5/50mg 14s,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Savesto (100mg) 28 Tablet (49mg+51mg),Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
STREPSILS HONEY & LEMON 144'S,Medicine,,,Qty,,RECKITT BENCKISER PAKISTAN LTD.,,,0,NaN,0,Exclusive,1,0,,,
ENERVIT TAB 30's,Medicine,,,Qty,,HIMONT PHARMA,,,0,NaN,0,Exclusive,1,0,,,
Clindamax (1%) 15g Gel,Medicine,,,Qty,,CRYSTOLITE PHARMACEUTICAL,,,0,NaN,0,Exclusive,1,0,,,
Nebil (2.5mg) 28S TABLETS,Medicine,,,Qty,,Getz Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
LEZRA 2.5MG TAB 30'S,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Medi Green Gluta Pro Max Tablets 30s,Medicine,,,Qty,,MEDI GREEN,,,0,NaN,0,Exclusive,1,0,,,
Gpride (4mg) 30 Tablets,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Voniza (20mg) 28 Tablets,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Blephabar 5ml Ophthalmic Suspension,Medicine,,,Qty,,Barrett Hodgson Pakistan (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Empozin L 10/5mg Tablets 14s,Medicine,,,Qty,,Macter International Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Actim (10mg) 28 Tablets,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Darvin (37.5/325mg) 20 Tablets,Medicine,,,Qty,,Pharmedic Laboratories (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Diajard-L 5mg/25mg TAB 14'S,Medicine,,,Qty,,Highnoon Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Dapxiga-M XR 5mg/500mg Tablets,Medicine,,,Qty,,Ferozsons Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
BFL Forte E/Drop 5ml,Medicine,,,Qty,,Barrett Hodgson Pakistan (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Honey Glass 300gm,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Xobix (15mg) 20 Tablets,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Diajard Forte XR 5/2.5/1000 mg Tab,Medicine,,,Qty,,Highnoon Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Xobix (7.5mg) 20 Tablets,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Lumexa Serum 20ml,Medicine,,,Qty,,MAZTON PHARMACEUTICALS,,,0,NaN,0,Exclusive,1,0,,,
Cellgee Forte 30 Tablets,Medicine,,,Qty,,Cell Laboratories (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Linjardy MXR (10/5/1000mg) 14 Tablets,Medicine,,,Qty,,CCL Pharmaceuticals Pvt. Ltd,,,0,NaN,0,Exclusive,1,0,,,
Zeegap 150mg  28cap,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Gpride (2mg) 30 Tablets,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Rolip Eze (20\10mg) 20 Tablets,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Cova 160mg Tab 28s,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
BFL Eye DROP 5ML,Medicine,,,Qty,,Barrett Hodgson Pakistan (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Dapa-Met (5/1000mg) 28 Tablets,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Always Maxi Thick 11 Pcs,Medicine,,,Qty,,Procter & Gamble Pakistan,,,0,NaN,0,Exclusive,1,0,,,
Pru-Cic 1mg 10s tab,Medicine,,,Qty,,The Searle Company Limited,,,0,NaN,0,Exclusive,1,0,,,
Tamsolin -S 0.4 20s,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
MOLFIX 5 JUNIOR PANT 44,Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
MOLFIX 3 MIDI 56 PCS,Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
MOLFIX 5 JUNIOR 22 PCS,Medicine,,,Qty,,Molfix,,,0,NaN,0,Exclusive,1,0,,,
Cran Max PRO 12 Sachets,Medicine,,,Qty,,Hinucon (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
"CQ 10 100mg  cap 30,s",Medicine,,,Qty,,Vida Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
DUREX EXTENDED PLEASURE 3S,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
CANDERAL POCKET PACK 100S,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Kestore (5mg) 15S Tablets,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Gvia 50mg Tab 28s,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Daplozmet XR 5/1000mg tablets 14S,Medicine,,,Qty,,Highnoon Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
C-MAX ORANGE SACHET 12S,Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
EasyCare Abdominal Belt (XL),Medicine,,,Qty,,,,,0,NaN,0,Exclusive,1,0,,,
Citolin 500mg 12S Tablets,Medicine,,,Qty,,Global Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Melor (15)mg Tablets 30s,Medicine,,,Qty,,SAMI Pharmaceuticals (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Hilrace (100)mg Capsules 10s,Medicine,,,Qty,,Hilton Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Acoeaze (100)mg 20s,Medicine,,,Qty,,The Searle Company Limited,,,0,NaN,0,Exclusive,1,0,,,
Dapxiga-M 5/1000 mg Tab,Medicine,,,Qty,,Ferozsons Laboratories Ltd.,,,0,NaN,0,Exclusive,1,0,,,
Kestore (20mg) 15S Tablets,Medicine,,,Qty,,Scilife Pharma (Pvt.) Ltd.,,,0,NaN,0,Exclusive,1,0,,,
